shape,ka,mesh_ref,component,rel_l2,bem_theta_count,adda_theta_count,bem_m11_0,adda_m11_0,m11_0_ratio_bem_over_adda,rel_l2_global_s110,mean_abs_floor2_global_s110,bem_time_s,bem_ka,adda_ka_eq,ka_ratio_bem_over_adda,bem_file,adda_ocl_file
гексагональная призма,20.0,5,M34,1.4738320152434508,181,182,21318.3685,11733.670639,1.8168541759765002,1.5623491529291385,0.08666923329627547,297.78,20.0,20.0,1.0,runs/poster_hex_ref_improve/hex_ka20_ref5_n181.json,runs/adda_ocl_benchmark_ext/hex_ka20/mueller
гексагональная призма,20.0,5,M44,0.535757000256169,181,182,21318.3685,11733.670639,1.8168541759765002,0.2344200109024501,0.19375250226340618,297.78,20.0,20.0,1.0,runs/poster_hex_ref_improve/hex_ka20_ref5_n181.json,runs/adda_ocl_benchmark_ext/hex_ka20/mueller
гексагональная призма,30.0,5,M11,0.17836547030012256,181,182,453417.828,125749.00737,3.6057368362827495,0.17836547030012256,0.0798068112967789,184.221,30.0,30.0,1.0,runs/current_time_refresh/hex_ka30_ref5_single_n181_batch4auto.json,runs/adda_ocl_benchmark_ext/hex_ka30/mueller
гексагональная призма,30.0,5,M12,1.3917705679600498,181,182,453417.828,125749.00737,3.6057368362827495,2.21555833426201,0.01954017292512219,184.221,30.0,30.0,1.0,runs/current_time_refresh/hex_ka30_ref5_single_n181_batch4auto.json,runs/adda_ocl_benchmark_ext/hex_ka30/mueller
гексагональная призма,30.0,5,M22,0.05006428250885791,181,182,453417.828,125749.00737,3.6057368362827495,0.17837181585910203,0.07981261630810395,184.221,30.0,30.0,1.0,runs/current_time_refresh/hex_ka30_ref5_single_n181_batch4auto.json,runs/adda_ocl_benchmark_ext/hex_ka30/mueller
гексагональная призма,30.0,5,M33,0.8253456154827484,181,182,453417.828,125749.00737,3.6057368362827495,0.1784886384592831,0.07956036996476612,184.221,30.0,30.0,1.0,runs/current_time_refresh/hex_ka30_ref5_single_n181_batch4auto.json,runs/adda_ocl_benchmark_ext/hex_ka30/mueller
гексагональная призма,30.0,5,M34,1.3044440999124098,181,182,453417.828,125749.00737,3.6057368362827495,1.7756048175577317,0.013909382983269481,184.221,30.0,30.0,1.0,runs/current_time_refresh/hex_ka30_ref5_single_n181_batch4auto.json,runs/adda_ocl_benchmark_ext/hex_ka30/mueller
гексагональная призма,30.0,5,M44,0.8240003782399585,181,182,453417.828,125749.00737,3.6057368362827495,0.17848239587044812,0.07955623241585498,184.221,30.0,30.0,1.0,runs/current_time_refresh/hex_ka30_ref5_single_n181_batch4auto.json,runs/adda_ocl_benchmark_ext/hex_ka30/mueller
пылевая частица,2.00014847,800,M11,0.007810452122745031,181,182,13.5002382,14.213036289,0.9498489925371076,0.007810452122745031,0.050467862257605876,40.42,2.0,2.00014847,0.9999257705104261,runs/current_time_refresh/dust_ka2_f800_pmchwt_n181.json,runs/adda_ocl_benchmark_ext/dust_ka2_m1p6_dpl20_scaled/mueller
пылевая частица,2.00014847,800,M12,0.252020674908275,181,182,13.5002382,14.213036289,0.9498489925371076,0.27111787474654514,0.21514042247883738,40.42,2.0,2.00014847,0.9999257705104261,runs/current_time_refresh/dust_ka2_f800_pmchwt_n181.json,runs/adda_ocl_benchmark_ext/dust_ka2_m1p6_dpl20_scaled/mueller
пылевая частица,2.00014847,800,M22,0.03466781267170724,181,182,13.5002382,14.213036289,0.9498489925371076,0.00884921861051922,0.05763508627243632,40.42,2.0,2.00014847,0.9999257705104261,runs/current_time_refresh/dust_ka2_f800_pmchwt_n181.json,runs/adda_ocl_benchmark_ext/dust_ka2_m1p6_dpl20_scaled/mueller
пылевая частица,2.00014847,800,M33,0.0566094077761251,181,182,13.5002382,14.213036289,0.9498489925371076,0.006344645285910082,0.03850220784481931,40.42,2.0,2.00014847,0.9999257705104261,runs/current_time_refresh/dust_ka2_f800_pmchwt_n181.json,runs/adda_ocl_benchmark_ext/dust_ka2_m1p6_dpl20_scaled/mueller
пылевая частица,2.00014847,800,M34,0.32822043872027873,181,182,13.5002382,14.213036289,0.9498489925371076,0.14352974044035485,0.13999216228120268,40.42,2.0,2.00014847,0.9999257705104261,runs/current_time_refresh/dust_ka2_f800_pmchwt_n181.json,runs/adda_ocl_benchmark_ext/dust_ka2_m1p6_dpl20_scaled/mueller
пылевая частица,2.00014847,800,M44,0.057197439934765226,181,182,13.5002382,14.213036289,0.9498489925371076,0.005946415038980574,0.034816345936222216,40.42,2.0,2.00014847,0.9999257705104261,runs/current_time_refresh/dust_ka2_f800_pmchwt_n181.json,runs/adda_ocl_benchmark_ext/dust_ka2_m1p6_dpl20_scaled/mueller
пылевая частица,4.999717324,800,M11,0.047605172490469555,181,182,102.512795,110.85478502,0.9247484894901472,0.047605172490469555,0.09148677515012732,246.86,5.0,4.999717324,1.0000565383964095,runs/current_time_refresh/dust_ka5_f800_pmchwt_n181.json,runs/adda_ocl_benchmark_ext/dust_ka5_m1p6_dpl20_scaled/mueller
пылевая частица,4.999717324,800,M12,0.3254840441949312,181,182,102.512795,110.85478502,0.9247484894901472,0.5077561403781113,0.32896026826243874,246.86,5.0,4.999717324,1.0000565383964095,runs/current_time_refresh/dust_ka5_f800_pmchwt_n181.json,runs/adda_ocl_benchmark_ext/dust_ka5_m1p6_dpl20_scaled/mueller
пылевая частица,4.999717324,800,M22,0.07101115557757032,181,182,102.512795,110.85478502,0.9247484894901472,0.048691107753678346,0.10689323906340159,246.86,5.0,4.999717324,1.0000565383964095,runs/current_time_refresh/dust_ka5_f800_pmchwt_n181.json,runs/adda_ocl_benchmark_ext/dust_ka5_m1p6_dpl20_scaled/mueller
пылевая частица,4.999717324,800,M33,0.0947081878635983,181,182,102.512795,110.85478502,0.9247484894901472,0.04630047430453601,0.10824472288770677,246.86,5.0,4.999717324,1.0000565383964095,runs/current_time_refresh/dust_ka5_f800_pmchwt_n181.json,runs/adda_ocl_benchmark_ext/dust_ka5_m1p6_dpl20_scaled/mueller
пылевая частица,4.999717324,800,M34,0.19600846430578306,181,182,102.512795,110.85478502,0.9247484894901472,0.3048474423859634,0.24681939547526374,246.86,5.0,4.999717324,1.0000565383964095,runs/current_time_refresh/dust_ka5_f800_pmchwt_n181.json,runs/adda_ocl_benchmark_ext/dust_ka5_m1p6_dpl20_scaled/mueller
пылевая частица,4.999717324,800,M44,0.12846991682112352,181,182,102.512795,110.85478502,0.9247484894901472,0.046690344034127085,0.11007137726310351,246.86,5.0,4.999717324,1.0000565383964095,runs/current_time_refresh/dust_ka5_f800_pmchwt_n181.json,runs/adda_ocl_benchmark_ext/dust_ka5_m1p6_dpl20_scaled/mueller
пылевая частица,5.708217984,800,M11,0.27387899383518666,181,182,294.672986,171.74807275,1.7157280502875394,0.27387899383518666,0.7079549074985166,112.67,5.709,5.708217984,1.0001369982719988,runs/poster_muller2_adda_check/dust_ka5p709_f800_a8b6g8_muller2b.json,runs/adda_ocl_benchmark_ext/dust_ka5p709_scaled/mueller
пылевая частица,5.708217984,800,M12,1.0006246526026932,181,182,294.672986,171.74807275,1.7157280502875394,1.0000191505099973,0.6338820562079851,112.67,5.709,5.708217984,1.0001369982719988,runs/poster_muller2_adda_check/dust_ka5p709_f800_a8b6g8_muller2b.json,runs/adda_ocl_benchmark_ext/dust_ka5p709_scaled/mueller
пылевая частица,5.708217984,800,M22,1.5502673739382127,181,182,294.672986,171.74807275,1.7157280502875394,1.9343184154263156,1.0674298067683248,112.67,5.709,5.708217984,1.0001369982719988,runs/poster_muller2_adda_check/dust_ka5p709_f800_a8b6g8_muller2b.json,runs/adda_ocl_benchmark_ext/dust_ka5p709_scaled/mueller
пылевая частица,5.708217984,800,M33,1.4815580997636657,181,182,294.672986,171.74807275,1.7157280502875394,1.9389065972378663,0.9141142575327058,112.67,5.709,5.708217984,1.0001369982719988,runs/poster_muller2_adda_check/dust_ka5p709_f800_a8b6g8_muller2b.json,runs/adda_ocl_benchmark_ext/dust_ka5p709_scaled/mueller
пылевая частица,5.708217984,800,M34,0.9996880111047864,181,182,294.672986,171.74807275,1.7157280502875394,1.0001683973159678,0.5857884977210029,112.67,5.709,5.708217984,1.0001369982719988,runs/poster_muller2_adda_check/dust_ka5p709_f800_a8b6g8_muller2b.json,runs/adda_ocl_benchmark_ext/dust_ka5p709_scaled/mueller
пылевая частица,5.708217984,800,M44,0.5484701813264505,181,182,294.672986,171.74807275,1.7157280502875394,0.2554326990966733,0.5889632586090364,112.67,5.709,5.708217984,1.0001369982719988,runs/poster_muller2_adda_check/dust_ka5p709_f800_a8b6g8_muller2b.json,runs/adda_ocl_benchmark_ext/dust_ka5p709_scaled/mueller
пылевая частица,10.00056965,800,M11,0.017718668613259596,181,182,2110.20091,2075.01585,1.0169565258983444,0.017718668613259596,0.04404942524516492,265.553,10.0,10.00056965,0.9999430382448264,runs/current_time_refresh/dust_ka10_gmsh3400_muller2b_n181.json,runs/adda_ocl_benchmark_ext/dust_ka10_m1p6_dpl20_scaled/mueller
пылевая частица,10.00056965,800,M12,0.572926161699497,181,182,2110.20091,2075.01585,1.0169565258983444,0.2765114693874971,0.06819388297654014,265.553,10.0,10.00056965,0.9999430382448264,runs/current_time_refresh/dust_ka10_gmsh3400_muller2b_n181.json,runs/adda_ocl_benchmark_ext/dust_ka10_m1p6_dpl20_scaled/mueller
пылевая частица,10.00056965,800,M22,0.22581528627009484,181,182,2110.20091,2075.01585,1.0169565258983444,0.018482777509574548,0.05201217255065967,265.553,10.0,10.00056965,0.9999430382448264,runs/current_time_refresh/dust_ka10_gmsh3400_muller2b_n181.json,runs/adda_ocl_benchmark_ext/dust_ka10_m1p6_dpl20_scaled/mueller
пылевая частица,10.00056965,800,M33,0.2960166344471182,181,182,2110.20091,2075.01585,1.0169565258983444,0.01967983256497002,0.05376633938958733,265.553,10.0,10.00056965,0.9999430382448264,runs/current_time_refresh/dust_ka10_gmsh3400_muller2b_n181.json,runs/adda_ocl_benchmark_ext/dust_ka10_m1p6_dpl20_scaled/mueller
пылевая частица,10.00056965,800,M34,0.38573265903668486,181,182,2110.20091,2075.01585,1.0169565258983444,0.4361126652779171,0.1253397433519197,265.553,10.0,10.00056965,0.9999430382448264,runs/current_time_refresh/dust_ka10_gmsh3400_muller2b_n181.json,runs/adda_ocl_benchmark_ext/dust_ka10_m1p6_dpl20_scaled/mueller
пылевая частица,10.00056965,800,M44,0.21500665972085595,181,182,2110.20091,2075.01585,1.0169565258983444,0.019223704803329574,0.04710859091056274,265.553,10.0,10.00056965,0.9999430382448264,runs/current_time_refresh/dust_ka10_gmsh3400_muller2b_n181.json,runs/adda_ocl_benchmark_ext/dust_ka10_m1p6_dpl20_scaled/mueller
